Finesecur/DI	Parametres	V/Zone	V/BusAdresse	V/Libelle	V/Adresse	V/ZoneNom
DI_Zone_0002_0001	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/2	2	1	SORTIE DE SECOURS NORD	001	ZD2 NIVEAU RDC DM
DI_Zone_0002_0002	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/2	2	1	SORTIE DE SECOURS EST ZONE C	002	ZD2 NIVEAU RDC DM
DI_Zone_0002_0003	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/2	2	1	SORTIE DE SECOURS SUD ZONE B	003	ZD2 NIVEAU RDC DM
DI_Zone_0002_0004	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/2	2	1	LOCAL TGBT	004	ZD2 NIVEAU RDC DM
DI_Zone_0002_0005	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/2	2	1	SORTIE DE SECOURS OUEST ZONE A	005	ZD2 NIVEAU RDC DM
DI_Zone_0004_0006	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/4	4	1	NOYAU CENTRAL	006	ZD4 1er INTERMEDIAIRE DM
DI_Zone_0005_0007	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/5	5	1	BULLE C	007	ZD5 NIVEAU N+1 DM
DI_Zone_0004_0008	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/4	4	1	BULLE C	008	ZD4 1er INTERMEDIAIRE DM
DI_Zone_0005_0009	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/5	5	1	BULLE B	009	ZD5 NIVEAU N+1 DM
DI_Zone_0004_0010	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/4	4	1	BULLE B	010	ZD4 1er INTERMEDIAIRE DM
DI_Zone_0005_0011	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/5	5	1	BULLE A	011	ZD5 NIVEAU N+1 DM
DI_Zone_0004_0012	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/4	4	1	BULLE A	012	ZD4 1er INTERMEDIAIRE DM
DI_Zone_0005_0013	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/5	5	1	NOYAU CENTRAL	013	ZD5 NIVEAU N+1 DM
DI_Zone_0006_0014	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/6	6	1	BULLE C	014	ZD6 NIVEAU N+2 DM
DI_Zone_0006_0015	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/6	6	1	BULLE B	015	ZD6 NIVEAU N+2 DM
DI_Zone_0006_0016	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/6	6	1	BULLE A	016	ZD6 NIVEAU N+2 DM
DI_Zone_0006_0017	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/6	6	1	NOYAU CENTRAL	017	ZD6 NIVEAU N+2 DM
DI_Zone_0007_0018	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/7	7	1	NOYAU CENTRAL	018	ZD7 NIVEAU N+3 DM
DI_Zone_0007_0019	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/7	7	1	BULLE C	019	ZD7 NIVEAU N+3 DM
DI_Zone_0007_0020	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/7	7	1	BULLE A	020	ZD7 NIVEAU N+3 DM
DI_Zone_0007_0021	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/7	7	1	BULLE B	021	ZD7 NIVEAU N+3 DM
DI_Zone_0014_0022	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/14	14	1	EVACUATION GENERALE	022	ZD1 NIVEAU SOUS-SOL DM
DI_Zone_0014_0023	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/14	14	1	DERANGEMENTS CMSI	023	ZD1 NIVEAU SOUS-SOL DM
DI_Zone_0003_0001	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/3	3	3	LOCAL SSI	001	ZD3 LOCAUX RDC
DI_Zone_0001_0002	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/1	1	3	NOYAU CENTRAL	002	ZD1 NIVEAU SOUS-SOL DM
DI_Zone_0001_0003	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/1	1	3	SORTIE PARKING SUD	003	ZD1 NIVEAU SOUS-SOL DM
DI_Zone_0008_0004	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/8	8	3	NOYAU CENTRAL	004	ZD8 2eme INTERMEDIAIRE DM
DI_Zone_0008_0005	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/8	8	3	BULLE C	005	ZD8 2eme INTERMEDIAIRE DM
DI_Zone_0009_0006	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/9	9	3	BULLE C	006	ZD9 3eme INTERMEDIAIRE DM
DI_Zone_0010_0007	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/10	10	3	BULLE C	007	ZD1 NIVEAU SOUS-SOL DM
DI_Zone_0010_0008	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/10	10	3	BULLE B	008	ZD1 NIVEAU SOUS-SOL DM
DI_Zone_0009_0009	/Finesecur/DI/SDI_AUDIBERGUE_FINSECUR/9	9	3	BULLE B	009	ZD9 3eme INTERMEDIAIRE DM
