Siemens/DI	Parametres	V/Zone	V/Adresse	V/libelle	V/parentlibelle	V/modbusadresse
DI_ZD_20_A419	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	3	_SALLE_DE_FORMATION_22	_LOCAUX_ZDA_20	419
DI_ZD_20_A418	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	2	_FOYER_BIBLIOTHEQUE	_LOCAUX_ZDA_20	418
DI_ZD_20_A417	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	1	_HALL_ENTREE_COTE_NORD	_LOCAUX_ZDA_20	417
DI_ZD_16_A416	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_16	16	12	_DM_SORTIE_RESTAURANT_NORD	_DM_NIVEAU_R_1_ZDM_16	416
DI_ZD_16_A415	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_16	16	11	_DM_RESTAURANT_CENTRE	_DM_NIVEAU_R_1_ZDM_16	415
DI_ZD_16_A414	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_16	16	10	_DM_SORTIE_RESTAURANT_SUD	_DM_NIVEAU_R_1_ZDM_16	414
DI_ZD_12_A401	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_12	12	1	_HALL_ENTREE_CAFET_RESTAURANT_SUD	_ENTREE_CAFETERIA_ZDA_12	401
DI_ZD_15_A398	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_15	15	19	_PALIER_HALL_ESCALIERS_SUD	_CUISINE_ZDA_15	398
DI_ZD_18_A429	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_18	18	2	_COULOIR_COTE_SUD_FACE_WC	_CIRCULATION_ZDA_18	429
DI_ZD_18_A428	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_18	18	1	_COULOIR_COTE_SUD	_CIRCULATION_ZDA_18	428
DI_ZD_20_A426	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	10	_SALLE_POLYVALENTE_COTE_FENETRE	_LOCAUX_ZDA_20	426
DI_ZD_20_A425	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	9	_SALLE_POLYVALENTE_COTE_FENETRE	_LOCAUX_ZDA_20	425
DI_ZD_20_A424	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	8	_SALLE_POLYVALENTE_COTE_FENETRE	_LOCAUX_ZDA_20	424
DI_ZD_20_A423	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	7	_PALIER_HALL_ESCALIER_SUD	_LOCAUX_ZDA_20	423
DI_ZD_20_A422	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	6	_SALLE_POLYVALENTE	_LOCAUX_ZDA_20	422
DI_ZD_20_A421	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	5	_SALLE_POLYVALENTE	_LOCAUX_ZDA_20	421
DI_ZD_21_A435	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_21	21	2	_DM_HALL_ENTREE_NORD_S_POLY	_DM_NIVEAU_R_2_ZDM_21	435
DI_ZD_21_A434	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_21	21	1	_DM_COULOIR_SUD	_DM_NIVEAU_R_2_ZDM_21	434
DI_ZD_17_A433	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_17	17	2	_DEPOT_L_TECHNIQUE_S_POLYVALENTE	_DEPOT_ZDA_17	433
DI_ZD_17_A432	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_17	17	1	_DEPOT_LOCAL_INTERIEUR	_DEPOT_ZDA_17	432
DI_ZD_19_A431	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_19	19	2	_LOCAL_MACHINERIE_M_CHARGE_NORD	_LOCAUX_TECHNIQUE_ZDA_19	431
DI_ZD_19_A430	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_19	19	1	_LOCAL_TECHNIQUE_CTA	_LOCAUX_TECHNIQUE_ZDA_19	430
DI_ZD_20_A427	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_20	20	11	_PALIER_HALL_ESCALIER_NORD	_LOCAUX_ZDA_20	427
