DEF/DI	Parameters	V/Module	V/Ligne	V/Adresse	V/Zone	V/Libelle	V/IndexJbus	V/IndesJbusZone
DI_Zone_0001_0088	/DEF/DI/Closseur25614261851258/1	1	1	88	1	DI PELA R+3 CIRCULATION	88	96
DI_Zone_0001_0089	/DEF/DI/Closseur25614261851258/1	1	1	89	1	DI PELA R+3 CIRCULATION	89	96
DI_Zone_0001_0090	/DEF/DI/Closseur25614261851258/11	1	1	90	11	DM PELA R+3 CIRCULATION	90	94
DI_Zone_0001_0091	/DEF/DI/Closseur25614261851258/94	1	1	91	94	DM PELA R-1 CIRCUL ACCES MACH ASC	91	2
DI_Zone_0001_0092	/DEF/DI/Closseur25614261851258/93	1	1	92	93	DI PELA R-1 DEPOT 5	92	3
DI_Zone_0001_0093	/DEF/DI/Closseur25614261851258/93	1	1	93	93	DI PELA R-1 DEPOT 5	93	3
DI_Zone_0001_0094	/DEF/DI/Closseur25614261851258/93	1	1	94	93	DI PELA R-1 LOCAL TECHNIQUE MACH ASC.	94	3
DI_Zone_0001_0095	/DEF/DI/Closseur25614261851258/93	1	1	95	93	DI PELA R-1 DEPOT 6	95	3
DI_Zone_0001_0096	/DEF/DI/Closseur25614261851258/93	1	1	96	93	DI PELA R-1 LOCAL SATESE	96	3
DI_Zone_0001_0097	/DEF/DI/Closseur25614261851258/91	1	1	97	91	DI PELA R-1 PARKING 8	97	24
DI_Zone_0001_0098	/DEF/DI/Closseur25614261851258/91	1	1	98	91	DI PELA R-1 PARKING 5	98	24
DI_Zone_0001_0099	/DEF/DI/Closseur25614261851258/93	1	1	99	93	DI PELA R-1 SOUS STATION	99	3
DI_Zone_0001_0100	/DEF/DI/Closseur25614261851258/93	1	1	100	93	DI PELA R-1 LOCAL 2 ROUES (PAR GAL TECH)	100	3
DI_Zone_0001_0101	/DEF/DI/Closseur25614261851258/94	1	1	101	94	DM PELA R-1 LOC 2 ROUES (PAR NOYAU CENT)	101	2
DI_Zone_0001_0102	/DEF/DI/Closseur25614261851258/48	1	1	102	48	DI AUTHION RDC VTP SSI HALL ACCUEIL	102	15
DI_Zone_0001_0103	/DEF/DI/Closseur25614261851258/100	1	1	103	100	CCF PELA RDC HALL	103	9
DI_Zone_0001_0104	/DEF/DI/Closseur25614261851258/48	1	1	104	48	DI- AUTHION RDC POSTE DE POLICE	104	15
DI_Zone_0001_0106	/DEF/DI/Closseur25614261851258/201	1	1	106	201	CCF AUTHION RDC CIRCULATION OUEST	106	127
DI_Zone_0001_0107	/DEF/DI/Closseur25614261851258/100	1	1	107	100	CCF R+2 PELA CIRCULATION	107	9
DI_Zone_0001_0108	/DEF/DI/Closseur25614261851258/10	1	1	108	10	PELA RDC LOCAL TECHNIQUE VDI	108	5
DI_Zone_0001_0109	/DEF/DI/Closseur25614261851258/100	1	1	109	100	CCF R+1 PELA CIRCULATION	109	9
DI_Zone_0001_0110	/DEF/DI/Closseur25614261851258/4	1	1	110	4	DI PELA 2EME Bureau 203	110	124
DI_Zone_0001_0111	/DEF/DI/Closseur25614261851258/4	1	1	111	4	DI PELA 2EME BUREAU 204	111	124
DI_Zone_0001_0001	/DEF/DI/Closseur25614261851258/190	1	2	1	190	DI FERION R-1 CIRCUL. ACCES CHAUFFERIE	126	84
DI_Zone_0001_0002	/DEF/DI/Closseur25614261851258/67	1	2	2	67	DI FERION R+4 LOCAL MENAGE	127	87
DI_Zone_0001_0003	/DEF/DI/Closseur25614261851258/102	1	2	3	102	DI FERION R+5 CCF NC	128	37
DI_Zone_0001_0004	/DEF/DI/Closseur25614261851258/102	1	2	4	102	FERION R+5 CCF BULLE B	129	37
DI_Zone_0001_0005	/DEF/DI/Closseur25614261851258/102	1	2	5	102	FERION R+6 CCF NC	130	37
DI_Zone_0001_0006	/DEF/DI/Closseur25614261851258/62	1	2	6	62	 FERION R+6 BULLE B CIRCULATION	131	86
DI_Zone_0001_0007	/DEF/DI/Closseur25614261851258/62	1	2	7	62	DI FERION R+6 BULLE B CIRCULATION	132	86
DI_Zone_0001_0008	/DEF/DI/Closseur25614261851258/77	1	2	8	77	DM FERION BULLE B R+6 CIRCULATION	133	35
DI_Zone_0001_0009	/DEF/DI/Closseur25614261851258/62	1	2	9	62	DI FERION R+6 BULLE B CIRCULATION	134	86
DI_Zone_0001_0010	/DEF/DI/Closseur25614261851258/102	1	2	10	102	FERION R+6 CCF BULLE B	135	37
DI_Zone_0001_0011	/DEF/DI/Closseur25614261851258/79	1	2	11	79	DI FERION RDC BULLE A CIRCULATION SUD	136	28
DI_Zone_0001_0012	/DEF/DI/Closseur25614261851258/79	1	2	12	79	DI FERION RDC BULLE C CIRCULATION SUD	137	28
DI_Zone_0001_0013	/DEF/DI/Closseur25614261851258/79	1	2	13	79	DI FERION RDC BULLE C CIRCUL. SUD/EST	138	28
DI_Zone_0001_0014	/DEF/DI/Closseur25614261851258/82	1	2	14	82	DM FERION RDC BULLE C CIRCUL. SUD/EST	139	29
DI_Zone_0001_0015	/DEF/DI/Closseur25614261851258/79	1	2	15	79	DI FERION RDC BULLE C CIRCUL. SUD/EST	140	28
DI_Zone_0001_0016	/DEF/DI/Closseur25614261851258/79	1	2	16	79	DI FERION RDC BULLE A CIRCULATION EST	141	28
DI_Zone_0001_0017	/DEF/DI/Closseur25614261851258/78	1	2	17	78	DI FERION RDC BULLE A CIRCUL. NORD/EST	142	30
DI_Zone_0001_0018	/DEF/DI/Closseur25614261851258/81	1	2	18	81	DI FERION RDC BULLE A ARCHIVES NORD/EST	143	31
DI_Zone_0001_0019	/DEF/DI/Closseur25614261851258/78	1	2	19	78	DI FERION RDC BULLE A CIRCULATION NORD	144	30
DI_Zone_0001_0020	/DEF/DI/Closseur25614261851258/78	1	2	20	78	DI FERION RDC BULLE A CIRCULATION NORD	145	30
DI_Zone_0001_0021	/DEF/DI/Closseur25614261851258/78	1	2	21	78	DI FERION RDC BULLE A CIRCULATION OUEST	146	30
DI_Zone_0001_0022	/DEF/DI/Closseur25614261851258/76	1	2	22	76	DI FERION R+1 INT BULLE B DEPOT	147	32
DI_Zone_0001_0023	/DEF/DI/Closseur25614261851258/78	1	2	23	78	DI FERION RDC HALL ACCES PRINCIPAL	148	30
DI_Zone_0001_0024	/DEF/DI/Closseur25614261851258/82	1	2	24	82	DM FERION RDC HALL ACCES PRINCIPAL	149	29
DI_Zone_0001_0025	/DEF/DI/Closseur25614261851258/81	1	2	25	81	DI FERION RDC BULLE A TGBTD	150	31
DI_Zone_0001_0026	/DEF/DI/Closseur25614261851258/78	1	2	26	78	DI FERION RDC BULLE A HALL ACCUEIL	151	30
DI_Zone_0001_0027	/DEF/DI/Closseur25614261851258/102	1	2	27	102	DI FERION CCF BULLE A	152	37
DI_Zone_0001_0028	/DEF/DI/Closseur25614261851258/64	1	2	28	64	DI FERION R+5 BULLE B	153	46
DI_Zone_0001_0029	/DEF/DI/Closseur25614261851258/78	1	2	29	78	DI FERION RDC BULLE A HALL/ACCUEIL	154	30
DI_Zone_0001_0030	/DEF/DI/Closseur25614261851258/81	1	2	30	81	DI FERION RDC BULLE B I.S. COSS	155	31
DI_Zone_0001_0031	/DEF/DI/Closseur25614261851258/82	1	2	31	82	DM FERION RDC BULLE B I.S. COSS	156	29
DI_Zone_0001_0032	/DEF/DI/Closseur25614261851258/82	1	2	32	82	DM FERION RDC BULLE B	157	29
DI_Zone_0001_0033	/DEF/DI/Closseur25614261851258/79	1	2	33	79	DI FERION RDC BULLE B	158	28
DI_Zone_0001_0034	/DEF/DI/Closseur25614261851258/76	1	2	34	76	DI FERION R+1 INT BULLE B DEPOT	159	32
DI_Zone_0001_0035	/DEF/DI/Closseur25614261851258/78	1	2	35	78	DI FERION RDC BULLE B CIRCULATION	160	30
DI_Zone_0001_0036	/DEF/DI/Closseur25614261851258/78	1	2	36	78	DI FERION RDC BULLE B CIRCULATION	161	30
DI_Zone_0001_0037	/DEF/DI/Closseur25614261851258/75	1	2	37	75	DI FERION NC LT VD1	162	38
DI_Zone_0001_0038	/DEF/DI/Closseur25614261851258/82	1	2	38	82	DM FERION RDC NOYAU CENTRAL	163	29
DI_Zone_0001_0039	/DEF/DI/Closseur25614261851258/76	1	2	39	76	DI FERION R+1 INT NOYAU CENTRAL DEPOT	164	32
DI_Zone_0001_0040	/DEF/DI/Closseur25614261851258/77	1	2	40	77	DM FERION R+1 NOYAU CENTRAL	165	35
DI_Zone_0001_0041	/DEF/DI/Closseur25614261851258/74	1	2	41	74	DI FERION R+1 NOYAU CENTRAL	166	36
DI_Zone_0001_0042	/DEF/DI/Closseur25614261851258/74	1	2	42	74	DI FERION R+1 BULLE A PASSERELLE	167	36
DI_Zone_0001_0043	/DEF/DI/Closseur25614261851258/74	1	2	43	74	DI FERION R+1 BULLE A CIRCULATION	168	36
DI_Zone_0001_0044	/DEF/DI/Closseur25614261851258/75	1	2	44	75	DI FERION R+1 BULLE A DEPOT	169	38
DI_Zone_0001_0045	/DEF/DI/Closseur25614261851258/77	1	2	45	77	DM FERION R+1 BULLE A CIRCULATION	170	35
DI_Zone_0001_0046	/DEF/DI/Closseur25614261851258/74	1	2	46	74	DI FERION R+1 BULLE A CIRCULATION	171	36
DI_Zone_0001_0047	/DEF/DI/Closseur25614261851258/74	1	2	47	74	DI FERION R+1 BULLE A CIRCULATION	172	36
DI_Zone_0001_0048	/DEF/DI/Closseur25614261851258/75	1	2	48	75	DI FERION R+1 BULLE B DEPOT	173	38
DI_Zone_0001_0049	/DEF/DI/Closseur25614261851258/74	1	2	49	74	DI FERION R+1 BULLE B CIRCULATION	174	36
DI_Zone_0001_0050	/DEF/DI/Closseur25614261851258/74	1	2	50	74	DI FERION R+1 BULLE B CIRCULATION	175	36
DI_Zone_0001_0051	/DEF/DI/Closseur25614261851258/74	1	2	51	74	DI FERION R+1 BULLE B CIRCULATION	176	36
DI_Zone_0001_0052	/DEF/DI/Closseur25614261851258/77	1	2	52	77	DM FERION R+1 BULLE B CIRCULATION	177	35
DI_Zone_0001_0053	/DEF/DI/Closseur25614261851258/74	1	2	53	74	DI FERION R+1 BULLE B CIRCULATION	178	36
DI_Zone_0001_0054	/DEF/DI/Closseur25614261851258/74	1	2	54	74	DI FERION R+1 BULLE B PASSERELLE	179	36
DI_Zone_0001_0055	/DEF/DI/Closseur25614261851258/77	1	2	55	77	DM FERION R+2 NOYAU CENTRAL	180	35
DI_Zone_0001_0056	/DEF/DI/Closseur25614261851258/72	1	2	56	72	DI FERION R+2 NOYAU CENTRAL	181	39
DI_Zone_0001_0057	/DEF/DI/Closseur25614261851258/72	1	2	57	72	DI FERION R+2 BULLE A PASSERELLE	182	39
DI_Zone_0001_0058	/DEF/DI/Closseur25614261851258/73	1	2	58	73	DI FERION R+2 BULLE A DEPOT	183	40
DI_Zone_0001_0059	/DEF/DI/Closseur25614261851258/72	1	2	59	72	DI FERION R+2 BULLE A CIRCULATION	184	39
DI_Zone_0001_0060	/DEF/DI/Closseur25614261851258/72	1	2	60	72	DI FERION R+2 BULLE A CIRCULATION	185	39
DI_Zone_0001_0061	/DEF/DI/Closseur25614261851258/77	1	2	61	77	DM FERION R+2 BULLE A CIRCULATION	186	35
DI_Zone_0001_0062	/DEF/DI/Closseur25614261851258/72	1	2	62	72	DI FERION R+2 BULLE A CIRCULATION	187	39
DI_Zone_0001_0063	/DEF/DI/Closseur25614261851258/73	1	2	63	73	DI FERION R+2 LOCAL MENAGE	188	40
