Chubb/DI	Parameters	V/Tableau	V/Ligne	V/Adresse	V/RegistreBus	V/Libelle	V/NumZone	V/Octet	V/Boucle
DI_0001_0004_0027	/Chubb/DI/Chubb/Zone_45	1	4	27	18	ARCHIVES 5A	45	1	31
DI_0001_0004_0028	/Chubb/DI/Chubb/Zone_43	1	4	28	18	PALIER NOYAU A	43	2	30
DI_0001_0004_0029	/Chubb/DI/Chubb/Zone_44	1	4	29	19	SAS SANITAIRES NOYAU A	44	1	29
DI_0001_0004_0030	/Chubb/DI/Chubb/Zone_44	1	4	30	19	LOCAL VESTIAIRE NOYAU A	44	2	28
DI_0001_0004_0031	/Chubb/DI/Chubb/Zone_44	1	4	31	20	LOCAL TECHNIQUE NOYAU A	44	1	27
DI_0001_0004_0088	/Chubb/DI/Chubb/Zone_43	1	4	88	20	CIRCUL NOYAU A	43	2	26
DI_0001_0004_0089	/Chubb/DI/Chubb/Zone_43	1	4	89	21	CIRCUL NOYAU B	43	1	25
DI_0001_0004_0002	/Chubb/DI/Chubb/Zone_48	1	4	2	21	LOCAL MENAGE NOYAU A	48	2	6
DI_0001_0004_0003	/Chubb/DI/Chubb/Zone_48	1	4	3	22	SAS SANITAIRES NOYAU A	48	1	22
DI_0001_0004_0004	/Chubb/DI/Chubb/Zone_47	1	4	4	22	PALIER NOYAU A	47	2	21
DI_0001_0004_0005	/Chubb/DI/Chubb/Zone_49	1	4	5	23	ARCHIVES 4A	49	1	20
DI_0001_0004_0006	/Chubb/DI/Chubb/Zone_49	1	4	6	23	ARCHIVES 4A	49	2	19
DI_0001_0004_0007	/Chubb/DI/Chubb/Zone_47	1	4	7	24	CIRCULATION CENTRALE	47	1	18
DI_0001_0004_0009	/Chubb/DI/Chubb/Zone_47	1	4	9	24	CIRCULATION CENTRALE	47	2	16
DI_0001_0004_0011	/Chubb/DI/Chubb/Zone_47	1	4	11	25	CIRCULATION CENTRALE	47	2	14
DI_0001_0004_0012	/Chubb/DI/Chubb/Zone_47	1	4	12	26	PALIER NOYAU B	47	1	13
DI_0001_0004_0013	/Chubb/DI/Chubb/Zone_50	1	4	13	26	ARCHIVES 4B	50	2	12
DI_0001_0004_0014	/Chubb/DI/Chubb/Zone_50	1	4	14	27	ARCHIVES 4B	50	1	11
DI_0001_0004_0015	/Chubb/DI/Chubb/Zone_47	1	4	15	27	PALIER NOYAU B	47	2	10
DI_0001_0004_0017	/Chubb/DI/Chubb/Zone_48	1	4	17	28	LOCAL TECHNIQUE NOYAU B	48	2	8
DI_0001_0003_0058	/Chubb/DI/Chubb/Zone_52	1	3	58	29	LOCAL MENAGE NOYAU A	52	2	82
DI_0001_0003_0059	/Chubb/DI/Chubb/Zone_52	1	3	59	30	SAS SANITAIRES NOYAU A	52	1	83
DI_0001_0003_0060	/Chubb/DI/Chubb/Zone_51	1	3	60	30	PALIER NOYAU A	51	2	84
DI_0001_0003_0061	/Chubb/DI/Chubb/Zone_53	1	3	61	31	ARCHIVES 3A	53	1	85
DI_0001_0004_0069	/Chubb/DI/Chubb/Zone_32	1	4	69	31	LOCAL TECHNIQUE NOYAU A	32	2	149
DI_0001_0004_0070	/Chubb/DI/Chubb/Zone_32	1	4	70	32	LOCAL VESTIAIRES NOYAU A	32	1	150
DI_0001_0004_0071	/Chubb/DI/Chubb/Zone_32	1	4	71	32	SAS SANITAIRES NOYAU A	32	2	151
DI_0001_0004_0072	/Chubb/DI/Chubb/Zone_31	1	4	72	33	PALIER NOYAU A	31	1	152
DI_0001_0004_0073	/Chubb/DI/Chubb/Zone_32	1	4	73	33	LOCAL CLIM NOYAU A	32	2	153
DI_0001_0004_0074	/Chubb/DI/Chubb/Zone_33	1	4	74	34	ARCHIVES 8A	33	1	154
DI_0001_0004_0075	/Chubb/DI/Chubb/Zone_33	1	4	75	34	ARCHIVES 8A	33	2	155
DI_0001_0004_0076	/Chubb/DI/Chubb/Zone_31	1	4	76	35	CIRCULATION CENTRALE	31	1	156
DI_0001_0004_0077	/Chubb/DI/Chubb/Zone_31	1	4	77	35	CIRCULATION CENTRALE	31	2	157
DI_0001_0004_0086	/Chubb/DI/Chubb/Zone_32	1	4	86	36	LOCAL TECHNIQUE NOYAU B	32	1	158
DI_0001_0004_0079	/Chubb/DI/Chubb/Zone_31	1	4	79	36	CIRCULATION CENTRALE	31	2	159
