Siemens/DI	Parametres	V/Zone	V/Adresse	V/libelle	V/parentlibelle	V/modbusadresse
DI_Zone_0011_0009	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/11	11	9	 DM ENTREE HALL CENTRAL	 DM NIVEAU RDC ZDM 11	495
DI_Zone_0006_0035	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	35	 CRECHE LOCAL MENAGE	 CRECHE ZDA 6 	461
DI_Zone_0006_0008	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	8	 CRECHE ENTREE GRANDS-JEUX	 CRECHE ZDA 6 	443
DI_Zone_0006_0003	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	3	 CRECHE JEUX BEBE	 CRECHE ZDA 6 	438
DI_Zone_0006_0002	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	2	 CRECHE DORTOIR BEBE	 CRECHE ZDA 6 	437
DI_Zone_0006_0001	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	1	 CRECHE REPAS BEBE	 CRECHE ZDA 6 	436
DI_Zone_0006_0026	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	26	 CRECHE CUISINE LAVERIE PLONGE	 CRECHE ZDA 6 	453
DI_Zone_0006_0007	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	7	 CRECHE DORTOIR GRANDS -JEUX 2	 CRECHE ZDA 6 	442
DI_Zone_0006_0006	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	6	 CRECHE DORTOIR GRANDS-JEUX1	 CRECHE ZDA 6 	441
DI_Zone_0006_0005	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	5	 CRECHE REPAS GRANDS-JEUX	 CRECHE ZDA 6 	440
DI_Zone_0006_0004	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	4	 CRECHE PROPRETE GRANDS	 CRECHE ZDA 6 	439
DI_Zone_0006_0033	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	33	 CRECHE BUANDERIE	 CRECHE ZDA 6 	459
DI_Zone_0006_0032	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	32	 CRECHE CUISINE PREPA CHAUDE	 CRECHE ZDA 6 	458
DI_Zone_0006_0031	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	31	 CRECHE CUISINE PREPA FROIDE	 CRECHE ZDA 6 	457
DI_Zone_0006_0027	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	27	 CRECHE DEGAGEMENT FACE CUISINE	 CRECHE ZDA 6 	454
DI_Zone_0006_0025	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	25	 CRECHE RESERVE ALIMENTAIRE	 CRECHE ZDA 6 	452
DI_Zone_0011_0010	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/11	11	10	 DM CRECHE VESTIAIRES SORTIE HALL	 DM NIVEAU RDC ZDM 11	496
DI_Zone_0022_0029	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/22	22	29	 CRECHE COULOIR	 ZDA 22 CIRCULATION CRECHE ZF CRECHE	494
DI_Zone_0022_0023	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/22	22	23	 CRECHE HALL ACCUEIL	 ZDA 22 CIRCULATION CRECHE ZF CRECHE	492
DI_Zone_0006_0034	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	34	 CRECHE BIBLIOTHEQUE	 CRECHE ZDA 6 	460
DI_Zone_0006_0030	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	30	 CRECHE VESTIAIRES PERSONNEL	 CRECHE ZDA 6 	456
DI_Zone_0006_0028	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	28	 CRECHE RESERVE	 CRECHE ZDA 6 	455
DI_Zone_0011_0013	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/11	11	13	 DM CRECHE CIRCULATION ACCUEIL BEBE	 DM NIVEAU RDC ZDM 11	499
DI_Zone_0011_0012	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/11	11	12	 DM CRECHE CIRCULATION BUANDERIE	 DM NIVEAU RDC ZDM 11	498
DI_Zone_0011_0011	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/11	11	11	 DM CRECHE SAS ENTREE	 DM NIVEAU RDC ZDM 11	497
DI_Zone_0006_0009	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	9	 CRECHE VESTIAIRES MOYEN	 CRECHE ZDA 6 	444
DI_Zone_0022_0024	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/22	22	24	 CRECHE CIRCUL. SORTIE COUR	 ZDA 22 CIRCULATION CRECHE ZF CRECHE	493
DI_Zone_0006_0022	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	22	 CRECHE BUREAU EDUCATEUR	 CRECHE ZDA 6 	451
DI_Zone_0006_0021	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	21	 CRECHE BUR.REGISSEUR ADJOINT	 CRECHE ZDA 6 	450
DI_Zone_0006_0020	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	20	 CRECHE BUREAU DIRECTEUR	 CRECHE ZDA 6 	449
DI_Zone_0006_0011	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	11	 CRECHE JEUX MOYENS	 CRECHE ZDA 6 	446
DI_Zone_0008_0004	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/8	8	4	 SALLE OUEST	 CAFETERIA ZDA 8	473
DI_Zone_0008_0003	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/8	8	3	 SALLE SUD	 CAFETERIA ZDA 8	472
DI_Zone_0006_0013	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	13	 CRECHE DORTOIR MOYENS-REPAS	 CRECHE ZDA 6 	448
DI_Zone_0006_0012	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/6	6	12	 CRECHE REPAS MOYENS -JEUX	 CRECHE ZDA 6 	447
