PROTOCOLO=91-EDP										
VERSION=MBS.1.0										
CAMPOS=11										
#	Type de données	Panel	Zona/Ctrl/Loop	Détecteur	EDP type	Panel Signal	Description	AddMB	E/S	Actif
287	0-Data	1	356		4-Z		4203 1er  ATEC DFHS 15	287	2-E/S	1-Oui
288	0-Data	1	357		4-Z		4203 ZONE 1 SALLE ATEC	288	2-E/S	1-Oui
289	0-Data	1	358		4-Z		4203 ZONE 2 SALLE ATEC	289	2-E/S	1-Oui
290	0-Data	1	359		4-Z		4203 1er ATEC  DFHS 3	290	2-E/S	1-Oui
291	0-Data	1	360		4-Z		4203 LIBRE	291	2-E/S	1-Oui
292	0-Data	1	361		4-Z		4203 1er ATEC DFHS 4	292	2-E/S	1-Oui
293	0-Data	1	362		4-Z		4203 1er ATEC DFHS 17	293	2-E/S	1-Oui
294	0-Data	1	363		4-Z		4203 1er ATEC DFHS 9	294	2-E/S	1-Oui
295	0-Data	1	364		4-Z		4203 LIBRE	295	2-E/S	1-Oui
296	0-Data	1	365		4-Z		4203 1er ATEC DFHS 8	296	2-E/S	1-Oui
297	0-Data	1	366		4-Z		4203 LIBRE	297	2-E/S	1-Oui
298	0-Data	1	367		4-Z		4203 1er ATEC DFHS 11	298	2-E/S	1-Oui
299	0-Data	1	368		4-Z		4203 LIBRE	299	2-E/S	1-Oui
300	0-Data	1	369		4-Z		4203 1er ATEC DFHS 12	300	2-E/S	1-Oui
301	0-Data	1	370		4-Z		4203 LIBRE	301	2-E/S	1-Oui
302	0-Data	1	371		4-Z		4203 1er ATEC DFHS 13	302	2-E/S	1-Oui
303	0-Data	1	372		4-Z		4203 LIBRE	303	2-E/S	1-Oui
304	0-Data	1	373		4-Z		4203 1er ATEC DFHS 14	304	2-E/S	1-Oui
305	0-Data	1	374		4-Z		4203 LIBRE	305	2-E/S	1-Oui
306	0-Data	1	375		4-Z		4203 1er ATEC DFHS 1	306	2-E/S	1-Oui
307	0-Data	1	376		4-Z		4203 LIBRE	307	2-E/S	1-Oui
308	0-Data	1	377		4-Z		4203 1er ATEC DFHS 2	308	2-E/S	1-Oui
309	0-Data	1	378		4-Z		4203 LIBRE	309	2-E/S	1-Oui
310	0-Data	1	379		4-Z		4203 1er ATEC DFHS 10	310	2-E/S	1-Oui
311	0-Data	1	380		4-Z		4203 LIBRE	311	2-E/S	1-Oui
312	0-Data	1	381		4-Z		4203 ZONE 3 SALLE ATEC	312	2-E/S	1-Oui
313	0-Data	1	382		4-Z		4203 ZONE 4 SALLE ATEC	313	2-E/S	1-Oui
314	0-Data	1	11		3-C			314	2-E/S	1-Oui
315	0-Data	1	12		3-C		4203 REPORT DGT SYNOPTIQU	315	2-E/S	1-Oui
316	0-Data	1	13		3-C		4203 REPORT FEU SYNOPTIQU	316	2-E/S	1-Oui
317	0-Data	1	14		3-C		4203 LIBRE SUR CARTE RL	317	2-E/S	1-Oui
318	0-Data	1	15		3-C		4203 IA COMMUN MAGASIN	318	2-E/S	1-Oui
319	0-Data	1	16		3-C		4203 IA COMMUN CDD P102	319	2-E/S	1-Oui
320	0-Data	1	17		3-C		4203 IA COMMUN BUR 1E 110	320	2-E/S	1-Oui
321	0-Data	1	18		3-C		4203 IA COMMUN S.REUNION	321	2-E/S	1-Oui
322	0-Data	1	19		3-C		4203 IA COMMUN BUR 020	322	2-E/S	1-Oui
323	0-Data	1	20		3-C			323	2-E/S	1-Oui
324	0-Data	1	21		3-C			324	2-E/S	1-Oui
325	0-Data	1	22		3-C		Arret Clim zone 1  ATEC	325	2-E/S	1-Oui
326	0-Data	1	23		3-C			326	2-E/S	1-Oui
327	0-Data	1	24		3-C		4203 IA COMMUN 1E ILOT EV	327	2-E/S	1-Oui
328	0-Data	1	25		3-C		4203 IA COMMUN ATEC 119	328	2-E/S	1-Oui
329	0-Data	1	26		3-C		4203 IA COMMUN VEST H 003	329	2-E/S	1-Oui
330	0-Data	1	27		3-C		4203 IA COMMUN BATTERIE	330	2-E/S	1-Oui
331	0-Data	1	28		3-C			331	2-E/S	1-Oui
332	0-Data	1	29		3-C			332	2-E/S	1-Oui
333	0-Data	1	30		3-C		4203 IA COMMUN 1E BUR 111	333	2-E/S	1-Oui
334	0-Data	1	31		3-C		ZONE 1 DFHS 7	334	2-E/S	1-Oui
335	0-Data	1	32		3-C		ZONE 1 DO 1-2-3-4	335	2-E/S	1-Oui
336	0-Data	1	33		3-C		4203 COMMANDE PTI	336	2-E/S	1-Oui
337	0-Data	1	34		3-C		Etat de la configuration	337	2-E/S	1-Oui
338	0-Data	1	35		3-C		ZONE 2 DFHS 9	338	2-E/S	1-Oui
339	0-Data	1	36		3-C		ZONE 2 DO 1-2-3-4	339	2-E/S	1-Oui
340	0-Data	1	37		3-C		Arret Clim zone 2 ATEC	340	2-E/S	1-Oui
341	0-Data	1	38		3-C		Arret Clim zone 3 ATEC	341	2-E/S	1-Oui
342	0-Data	1	39		3-C		ZONE 3 DFHS 8	342	2-E/S	1-Oui
343	0-Data	1	40		3-C		ZONE 3 DO 1-2-3-4	343	2-E/S	1-Oui
344	0-Data	1	41		3-C		ZONE 4 DFHS 1	344	2-E/S	1-Oui
345	0-Data	1	42		3-C		ZONE 4 DO 1-2-3-4	345	2-E/S	1-Oui
346	0-Data	1	43		3-C		LRS flux de normalisation	346	2-E/S	1-Oui
347	0-Data	1	44		3-C		Arret Clim zone 4 ATEC	347	2-E/S	1-Oui
348	0-Data	1	45		3-C		LRS apprentissage	348	2-E/S	1-Oui
349	0-Data	1	46		3-C		LRS apprentissage interro	349	2-E/S	1-Oui
350	0-Data	1	47		3-C		LRS filtre remplac‚	350	2-E/S	1-Oui
351	0-Data	1	48		3-C		LRS filtre non remplac‚	351	2-E/S	1-Oui
352	0-Data	1	49		3-C		LRS flux temporis‚ 5min	352	2-E/S	1-Oui
353	0-Data	1	350		3-C		LRS flux temporis‚ tempor	353	2-E/S	1-Oui
354	0-Data	1	351		3-C		Limite flux bas active	354	2-E/S	1-Oui
355	0-Data	1	352		3-C		Limite flux moyen active	355	2-E/S	1-Oui
356	0-Data	1	353		3-C		Limite flux haut active	356	2-E/S	1-Oui
357	0-Data	2			1-P	0-Power Supply Fault	AIR FRANCE ROISSY BAT 4601 PCIP	357	0-Ent	1-Oui
358	0-Data	2			1-P	1-Battery Fault	AIR FRANCE ROISSY BAT 4601 PCIP	358	0-Ent	1-Oui
359	0-Data	2			1-P	2-CPU Fault	AIR FRANCE ROISSY BAT 4601 PCIP	359	0-Ent	1-Oui
360	0-Data	2			1-P	3-Network Fault	AIR FRANCE ROISSY BAT 4601 PCIP	360	0-Ent	1-Oui
361	0-Data	2			1-P	4-Acoustic Fault	AIR FRANCE ROISSY BAT 4601 PCIP	361	0-Ent	1-Oui
362	0-Data	2			1-P	5-Keyboard Unlocked	AIR FRANCE ROISSY BAT 4601 PCIP	362	0-Ent	1-Oui
363	0-Data	2			1-P	6-Buzzer Silence	AIR FRANCE ROISSY BAT 4601 PCIP	363	1-Sor	1-Oui
364	0-Data	2			1-P	7-Sound On	AIR FRANCE ROISSY BAT 4601 PCIP	364	1-Sor	1-Oui
365	0-Data	2			1-P	8-Sound Silence	AIR FRANCE ROISSY BAT 4601 PCIP	365	2-E/S	1-Oui
366	0-Data	2			1-P	9-Panel Reset	AIR FRANCE ROISSY BAT 4601 PCIP	366	2-E/S	1-Oui
367	0-Data	2	221		2-L			367	2-E/S	1-Oui
368	0-Data	2	301		3-C			368	2-E/S	1-Oui
369	0-Data	2	302		3-C			369	2-E/S	1-Oui
370	0-Data	2	303		3-C			370	2-E/S	1-Oui
371	0-Data	2	310		3-C			371	2-E/S	1-Oui
372	0-Data	3			1-P	0-Power Supply Fault	BER AIR FRANCE BAT4414 ZEPHYR	372	0-Ent	1-Oui
373	0-Data	3			1-P	1-Battery Fault	BER AIR FRANCE BAT4414 ZEPHYR	373	0-Ent	1-Oui
374	0-Data	3			1-P	2-CPU Fault	BER AIR FRANCE BAT4414 ZEPHYR	374	0-Ent	1-Oui
375	0-Data	3			1-P	3-Network Fault	BER AIR FRANCE BAT4414 ZEPHYR	375	0-Ent	1-Oui
376	0-Data	3			1-P	4-Acoustic Fault	BER AIR FRANCE BAT4414 ZEPHYR	376	0-Ent	1-Oui
377	0-Data	3			1-P	5-Keyboard Unlocked	BER AIR FRANCE BAT4414 ZEPHYR	377	0-Ent	1-Oui
378	0-Data	3			1-P	6-Buzzer Silence	BER AIR FRANCE BAT4414 ZEPHYR	378	1-Sor	1-Oui
379	0-Data	3			1-P	7-Sound On	BER AIR FRANCE BAT4414 ZEPHYR	379	1-Sor	1-Oui
380	0-Data	3			1-P	8-Sound Silence	BER AIR FRANCE BAT4414 ZEPHYR	380	2-E/S	1-Oui
381	0-Data	3			1-P	9-Panel Reset	BER AIR FRANCE BAT4414 ZEPHYR	381	2-E/S	1-Oui
382	0-Data	3	321		2-L			382	2-E/S	1-Oui
383	0-Data	3	322		2-L		batiment 4414 BUS 322	383	2-E/S	1-Oui
384	0-Data	3	323		2-L			384	2-E/S	1-Oui
385	0-Data	3	2301		4-Z		4414 ZDM S/SOL	385	2-E/S	1-Oui
386	0-Data	3	2301	1	5-D		4414- S/SOL DM ESCALIER	386	2-E/S	1-Oui
387	0-Data	3	2302		4-Z		4414ZDM RDC	387	2-E/S	1-Oui
388	0-Data	3	2302	1	5-D		4414-RDC DM HALL ACCUEIL	388	2-E/S	1-Oui
389	0-Data	3	2302	2	5-D		4414-RDC DM ENTREE SAS	389	2-E/S	1-Oui
390	0-Data	3	2302	3	5-D		4414-RDC DM LOC SPRINKLER	390	2-E/S	1-Oui
391	0-Data	3	2302	4	5-D		4414-RDC DM ESC TGBT	391	2-E/S	1-Oui
392	0-Data	3	2302	5	5-D		4414-RDC DM POSTE HT	392	2-E/S	1-Oui
393	0-Data	3	2302	6	5-D		4414-RDC DM SORTIE NORD/O	393	2-E/S	1-Oui
394	0-Data	3	2302	8	5-D		4414-RDC DM ZONE STOCKAGE	394	2-E/S	1-Oui
395	0-Data	3	2302	7	5-D		4414-RDC DM IS ACCES GALE	395	2-E/S	1-Oui
396	0-Data	3	2302	9	5-D		4414-RDC DM LOC HYDRO	396	2-E/S	1-Oui
397	0-Data	3	2302	10	5-D		4414-RDC DM LOC PLOMBERIE	397	2-E/S	1-Oui
398	0-Data	3	2302	11	5-D		4414-RDC DM LOC PROD EXT	398	2-E/S	1-Oui
399	0-Data	3	2303		4-Z		4414ZDM R+1	399	2-E/S	1-Oui
400	0-Data	3	2303	4	5-D		4414-R+1 DM ESCALIER NIV1	400	2-E/S	1-Oui
401	0-Data	3	2303	3	5-D		4414-R+1 DM CIRCULAT TGBT	401	2-E/S	1-Oui
402	0-Data	3	2303	1	5-D		4414-R+1 DM ESC BUREAUX	402	2-E/S	1-Oui
403	0-Data	3	2303	2	5-D		4414-R+1DM ESCALIER COLIM	403	2-E/S	1-Oui
404	0-Data	3	2304		4-Z		4414- CELLULE TEST SUD	404	2-E/S	1-Oui
405	0-Data	3	2305		4-Z		4414- CELLULE TEST NORD	405	2-E/S	1-Oui
406	0-Data	3	2306		4-Z		4414LOCAL VDI (Z1 EXTINC)	406	2-E/S	1-Oui
407	0-Data	3	2306	1	5-D		4414- RDC L.VDI F.PLAFOND	407	2-E/S	1-Oui
408	0-Data	3	2306	2	5-D		4414-RDC L.VDI AMBIANCE	408	2-E/S	1-Oui
409	0-Data	3	2306	3	5-D		4414-RDC L.VDI F.PLANCHER	409	2-E/S	1-Oui
410	0-Data	3	2307		4-Z		4414LOCAL VDI (Z2 EXTINC)	410	2-E/S	1-Oui
411	0-Data	3	2307	1	5-D		4414-RDC L.VDI AMBIANCE	411	2-E/S	1-Oui
412	0-Data	3	2307	2	5-D		4414- RDC L.VDI F.PLAFOND	412	2-E/S	1-Oui
413	0-Data	3	2307	3	5-D		4414-RDC L.VDI F.PLANCHER	413	2-E/S	1-Oui
414	0-Data	3	2308		4-Z		4414LOCAUX TECHNIQUE RDC	414	2-E/S	1-Oui
415	0-Data	3	2308	5	5-D		4414- RDC ACCUEIL HALL	415	2-E/S	1-Oui
416	0-Data	3	2308	7	5-D		4414-RDC SAS ENTRE PL EST	416	2-E/S	1-Oui
417	0-Data	3	2308	8	5-D		4414-RDC SAS ENTRE PL EST	417	2-E/S	1-Oui
418	0-Data	3	2308	9	5-D		4414-RDC SAS ENTRE PL EST	418	2-E/S	1-Oui
419	0-Data	3	2308	1	5-D		4414-RDC POSTE HT	419	2-E/S	1-Oui
420	0-Data	3	2308	2	5-D		4414-RDC POSTE HT	420	2-E/S	1-Oui
421	0-Data	3	2308	10	5-D		4414- RDC L. MAINT. 198	421	2-E/S	1-Oui
422	0-Data	3	2308	11	5-D		4414- RDC L. REP ALAR 204	422	2-E/S	1-Oui
423	0-Data	3	2308	3	5-D		4414-RDC L.TECH NORD/OUES	423	2-E/S	1-Oui
424	0-Data	3	2308	4	5-D		4414-RDC LOCAL CO2	424	2-E/S	1-Oui
425	0-Data	3	2308	6	5-D		4414-RDC LOCA REPARTITEUR	425	2-E/S	1-Oui
426	0-Data	3	2309		4-Z		4414-DFHS COTE OUEST	426	2-E/S	1-Oui
427	0-Data	3	2310		4-Z		4414-DFHS COTE EST	427	2-E/S	1-Oui
428	0-Data	3	2311		4-Z		4414LOCAL INFO(Z1 EXTINC)	428	2-E/S	1-Oui
429	0-Data	3	2311	1	5-D		4414-R+1 LOC INSTRUMENT	429	2-E/S	1-Oui
430	0-Data	3	2311	2	5-D		4414-R+1 LOC INSTRU SOL	430	2-E/S	1-Oui
431	0-Data	3	2312		4-Z		4414LOCAL INFO(Z2 EXTINC)	431	2-E/S	1-Oui
432	0-Data	3	2312	2	5-D		4414-R+1 LOC INSTRU SOL	432	2-E/S	1-Oui
433	0-Data	3	2312	1	5-D		4414-R+1 LOC INSTRUMENT	433	2-E/S	1-Oui
434	0-Data	3	2313		4-Z		4414ZDA LOCAUX TECH R+1	434	2-E/S	1-Oui
435	0-Data	3	2313	1	5-D		4414-R+1 LOCA REPARTITEUR	435	2-E/S	1-Oui
436	0-Data	3	2314		4-Z		4414DERANG TRIPL IR Z2305	436	2-E/S	1-Oui
437	0-Data	3	2315		4-Z		4414DERANG TRIPL IR Z2304	437	2-E/S	1-Oui
438	0-Data	3	2316		4-Z		4414DM ZONE ATEX	438	2-E/S	1-Oui
439	0-Data	3	2317		4-Z		4414-ALARME SPRINKLER	439	2-E/S	1-Oui
440	0-Data	3	2318		4-Z		4414-DERANG SPRINKLER	440	2-E/S	1-Oui
441	0-Data	3	2319		4-Z		4414 CARTE RELAIS	441	2-E/S	1-Oui
442	0-Data	3	2319	1	5-D		4414 CARTE RELAIS	442	2-E/S	1-Oui
443	0-Data	3	2320		4-Z		4414OI Nø1 MEZZANINE	443	2-E/S	1-Oui
444	0-Data	3	2320	1	5-D		4414-OI 1 MEZZANINE	444	2-E/S	1-Oui
445	0-Data	3	2321		4-Z		4414OI Nø2	445	2-E/S	1-Oui
446	0-Data	3	2321	1	5-D		4414-OI 2  ATEL PRE OUEST	446	2-E/S	1-Oui
447	0-Data	3	2322		4-Z		4414OI Nø3 LOCAL VDI	447	2-E/S	1-Oui
448	0-Data	3	2322	1	5-D		4414-OI 3 L.T NORD/OUEST	448	2-E/S	1-Oui
449	0-Data	3	2323		4-Z		4414 OI N4 L.T PROD EXT	449	2-E/S	1-Oui
450	0-Data	3	2323	1	5-D		4414-RDC OI 4 LOCAL CO2	450	2-E/S	1-Oui
451	0-Data	3	2324		4-Z		4414 OI N5	451	2-E/S	1-Oui
452	0-Data	3	2324	1	5-D		4414-RDC OI 5 LOCAL CO2	452	2-E/S	1-Oui
453	0-Data	3	2325		4-Z		4414 OI N6	453	2-E/S	1-Oui
454	0-Data	3	2325	1	5-D		4414-RDC OI 6 LOCAL CO2	454	2-E/S	1-Oui
455	0-Data	3	2326		4-Z		4414 OI ZONE ATEX	455	2-E/S	1-Oui
456	0-Data	3	2326	1	5-D		4414-OI DM LOCAL FUTS	456	2-E/S	1-Oui
457	0-Data	3	2327		4-Z		4414 OI LOCAL SPRINKLER	457	2-E/S	1-Oui
458	0-Data	3	2327	1	5-D		4414-RDC OI LOC SPRINKLER	458	2-E/S	1-Oui
459	0-Data	3	2328		4-Z		4414 1er ETAGE TGBT	459	2-E/S	1-Oui
460	0-Data	3	2328	1	5-D		4414 1er ETAGE TGBT SUD	460	2-E/S	1-Oui
461	0-Data	3	2329		4-Z		4414 1er SALLE DE CONTROL	461	2-E/S	1-Oui
462	0-Data	3	2329	2	5-D		4414-R+1 LOCAL CABLE	462	2-E/S	1-Oui
463	0-Data	3	2329	1	5-D		4414 1er SALLE DE CONTROL	463	2-E/S	1-Oui
464	0-Data	3	2330		4-Z		4414 OI REPORT ALIM VESDA	464	2-E/S	1-Oui
465	0-Data	3	2330	1	5-D		4414 RDC OI REP VESDA	465	2-E/S	1-Oui
466	0-Data	3	2331		4-Z		4414 DEF SECTEUR EAE DFHS	466	2-E/S	1-Oui
										
										
										
										
101										
276										
10										
47										
