Esser/DI	Parameters	V/Numero	V/Panel	V/ZoneNum	V/Description	V/adress_MB
DI_ZD3_A31	/Esser/DI/EDP/Zone_3	31	1	3	4203 1er ILO CDV NORD 108	80
DI_ZD3_A32	/Esser/DI/EDP/Zone_3	32	1	3	4203 1er BUREAU TECH P110	81
DI_ZD3_A9	/Esser/DI/EDP/Zone_3	9	1	3	4203 1er BUREAU TECH P110	82
DI_ZD3_A15	/Esser/DI/EDP/Zone_3	15	1	3	4203 1er ILO CDV NORD 108	83
DI_ZD3_A14	/Esser/DI/EDP/Zone_3	14	1	3	4203 1er ILO CDV NORD 108	84
DI_ZD3_A13	/Esser/DI/EDP/Zone_3	13	1	3	4203 1er RESPONSA.S.E 111	85
DI_ZD3_A1	/Esser/DI/EDP/Zone_3	1	1	3	4203 1er RESPONSA.S.E 111	86
DI_ZD3_A12	/Esser/DI/EDP/Zone_3	12	1	3	4203 1er ILO CDV NORD 108	87
DI_ZD3_A11	/Esser/DI/EDP/Zone_3	11	1	3	4203 1er BUR.LOG S/E P109	88
DI_ZD4_A6	/Esser/DI/EDP/Zone_4	6	1	4	4203 1er LOCAL INFO P122	90
DI_ZD4_A3	/Esser/DI/EDP/Zone_4	3	1	4	4203 1er CIRCULATION NORD	91
DI_ZD4_A9	/Esser/DI/EDP/Zone_4	9	1	4	4203 1er CDD NORD P102	92
DI_ZD4_A7	/Esser/DI/EDP/Zone_4	7	1	4	4203 1er CDD NORD P102	93
DI_ZD4_A2	/Esser/DI/EDP/Zone_4	2	1	4	4203 1er CIRCULATION NORD	94
DI_ZD4_A13	/Esser/DI/EDP/Zone_4	13	1	4	4203 1erARMOIRE ELECRIQUE	95
DI_ZD4_A10	/Esser/DI/EDP/Zone_4	10	1	4	4203 1er SALLE REPOS P105	96
DI_ZD4_A11	/Esser/DI/EDP/Zone_4	11	1	4	4203 1er SALLE REPOS P105	97
DI_ZD4_A12	/Esser/DI/EDP/Zone_4	12	1	4	4203 1er SALLE CMS NORD	98
DI_ZD4_A1	/Esser/DI/EDP/Zone_4	1	1	4	4203 1er CIRCULATION NORD	99
DI_ZD4_A5	/Esser/DI/EDP/Zone_4	5	1	4	4203 1er BUR.BT ATEC P121	100
DI_ZD4_A4	/Esser/DI/EDP/Zone_4	4	1	4	4203 1er CIRCULATION NORD	101
DI_ZD4_A8	/Esser/DI/EDP/Zone_4	8	1	4	4203 1er ESCALIER	102
DI_ZD6_A1	/Esser/DI/EDP/Zone_6	1	1	6	4203 RDC B.BAT.LOGIST P11	105
