DEF/DI	Parametres	V/Adresse	V/Libelle	V/Ligne	V/Module
DAS_1_2_87	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF42	87	DI FERION R+3 BULLE B PASSERELLE	2	1
DAS_1_2_88	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF42	88	DI FERION R+3 NOYAU CENTRAL	2	1
DAS_1_2_89	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF43	89	DI FERION R+3 INTER2 NOYAU CENTRAL L.T.	2	1
DAS_1_2_90	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF35	90	DM FERION R+4  NOYAU CENTRAL	2	1
DAS_1_2_91	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF45	91	DI FERION R+4  BULLE B CIRCULATION	2	1
DAS_1_2_92	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF45	92	DI FERION R+4 BULLE B CIRCULATION	2	1
DAS_1_2_93	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF35	93	DM FERION R+4 BULLE B CIRCULATION	2	1
DAS_1_2_94	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF45	94	DI FERION R+4 BULLE B CIRCULATION	2	1
DAS_1_2_95	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF45	95	DI FERION R+4 BULLE B CIRCULATION	2	1
DAS_1_2_96	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF45	96	DI FERION R+4 BULLE B PASSERELLE	2	1
DAS_1_2_97	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF45	97	DI FERION R+4 NOYAU CENTRAL	2	1
DAS_1_2_98	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF35	98	DM FERION R+5 NOYAU CENTRAL	2	1
DAS_1_2_99	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF46	99	DI FERION R+5 NC	2	1
DAS_1_2_100	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF35	100	DM FERION R+6 NOYAU CENTRAL	2	1
DAS_1_2_101	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF86	101	DI FERION R+6 NOYAU CENTRAL	2	1
DAS_1_2_102	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF48	102	DI FERION R+7 NOYAU CENTRAL MACH ASC.	2	1
DAS_1_2_103	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF48	103	DI FERION R+7 NOYAU CENTRAL L.T.	2	1
DAS_1_2_104	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF2	104	DM FERION R-1 NOYAU CENTRAL	2	1
DAS_1_2_105	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	105	DI FERION R+2 CCF NC	2	1
DAS_1_2_106	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF1	106	DI FERION R-1 CIRCUL. ACCES CHAUFFERIE	2	1
DAS_1_2_107	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	107	DI FERION CCF BULLE A R+1	2	1
DAS_1_2_108	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	108	DI FERION R+1 CCF BULLE B 	2	1
DAS_1_2_109	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	109	FERION R+2  CCF BULLE A 	2	1
DAS_1_2_110	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	110	 FERION R+2  CCF BULLE B 	2	1
DAS_1_2_111	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	111	CCF FERION R+3 BULLE A CIRCULATION	2	1
DAS_1_2_112	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	112	FERION 3EME CCF Bulle B	2	1
DAS_1_2_113	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	113	FERION R+4 CCF BULLE B 	2	1
DAS_1_2_114	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	114	DI FERION R+3 CCF NC 	2	1
DAS_1_2_115	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF41	115	DI FERION NC DEPOT 	2	1
DAS_1_2_116	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF37	116	FERION R+4 CCF NC	2	1
DAS_1_2_117	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF46	117	DI FERION R+5 BULLE B PASSERELLE	2	1
DAS_1_2_118	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF46	118	DI FERION R+5 BULLE B CIRCULATION	2	1
DAS_1_2_119	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF46	119	DI FERION R+5 BULLE B CIRCULATION	2	1
DAS_1_2_120	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF35	120	DM FERION R+5 BULLE B CIRCULATION	2	1
DAS_1_2_121	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF88	121	DI FERION R+5 NC LT VDI	2	1
DAS_1_2_122	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF46	122	DI FERION R+5 BULLE B CIRCULATION	2	1
DAS_1_2_123	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF29	123	DM - FERION RDC I.S. COTE BUREAU 43	2	1
DAS_2_1_1	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	1	DI AUTHION R-1 PARKING 87	1	2
DAS_2_1_2	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	2	DI AUTHION R-1 PARKING 84	1	2
DAS_2_1_3	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	3	DI PELA R-1 PARKING 15	1	2
DAS_2_1_4	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	4	DI PELA R-1 PARKING 17	1	2
DAS_2_1_5	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	5	DI PELA R-1 PARKING 19	1	2
DAS_2_1_6	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	6	DI PELA R-1 PARKING 2	1	2
DAS_2_1_7	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	7	DI PELA R-1 DEPOT 3	1	2
DAS_2_1_8	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF52	8	DI PELA R-1 LOCAL E.V.M.	1	2
DAS_2_1_9	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF52	9	DI PELA R-1 CIRCULATION DEPOT 4	1	2
DAS_2_1_10	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	10	DI PELA R-1 ACCES DEPOT 1	1	2
DAS_2_1_11	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF52	11	DI PELA R-1 DEPOT 4	1	2
DAS_2_1_12	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF52	12	DI PELA R-1 DEPOT 2	1	2
DAS_2_1_13	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF52	13	DI PELA R-1 DEPOT 1	1	2
DAS_2_1_14	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	14	DI PELA R-1 PARKING 13	1	2
DAS_2_1_15	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF2	15	DM M.DES.M R-1 PARKING COTE PELA	1	2
DAS_2_1_16	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	16	DI M.DES.M R-1 PARKING 62	1	2
DAS_2_1_17	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	17	DI M.DES.M R-1 PARKING 65	1	2
DAS_2_1_18	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	18	DI M.DES.M R-1 PARKING 16	1	2
DAS_2_1_19	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	19	DI M.DES.M R-1 PARKING 13	1	2
DAS_2_1_20	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	20	DI M.DES.M R-1 PARKING 10	1	2
DAS_2_1_21	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF24	21	DI M.DES.M R-1 PARKING 7	1	2
DAS_2_1_22	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF3	22	DI M.DES.M R-1 DEPOT 1	1	2
DAS_2_1_23	/ImportChubb/DI/CADAM_SDI_BLOC_EST_SEF1	23	DI M.DES.M R-1 BULLE B NC	1	2
