DEF/DAS	Parameters	V/Module	V/AdressePhysique	V/AdresseLogique	V/Libelle
DAS_0000_0082	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	82	89	ED4L_81_L2_VOIE_LIBRE
DAS_0000_0083	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	83	90	ED4L_81_L3_VOIE_LIBRE
DAS_0000_0084	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	84	91	ED4L_81_L4_VOIE_LIBRE
DAS_0000_0085	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	85	92	LDS_ZA2_AUT_MDM_2_021_1_A_2_021_12
DAS_0000_0086	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	86	93	EXU_ZF2_MDM_2_022_1_ARCHIVES_CG
DAS_0000_0087	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	87	94	LDS_ZA2_AUT_MDM_2_023_1_ET_2_023_2
DAS_0000_0088	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	88	95	LDS_ZA2_AUT_MDM_2_024_1_A_2_024_12
DAS_0000_0089	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	89	96	PCF_ZC2_AUT_MDM_2_025_1_A_2_025_18
DAS_0000_0090	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	90	97	EXU_ZF3_MDM_2_026_1_ARCHIVES_PC
DAS_0000_0091	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	91	98	LDS_ZA2_2_027_1
DAS_0000_0092	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	92	99	US_EXTINCTION_AUTO
DAS_0000_0093	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	93	100	PCF_ZC2_AUT_MDM_2_029_1_A_2_029_19
DAS_0000_0094	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	94	101	DEV_IS_ZA2_AUT_MDM
DAS_0000_0095	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	95	102	EXU_ZF5_MDM_2_031_1_REGIE_RECETTE
DAS_0000_0096	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	96	103	DEV_IS_ZA_2__MONT_DES_MERVEILLES_
DAS_0000_0029	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	29	36	DIFFUSEUR_LUMINEUX_ZA3_FERION_R_5_6
DAS_0000_0030	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	30	37	DIFFUSEUR_LUMINEUX_ZA3_FERION_R_3_4
DAS_0000_0031	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	31	38	DIFFUSEUR_LUMINEUX_ZA3_FERION_R_1_2
DAS_0000_0032	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	32	39	ED4L_29_LIGNE_4_LIBRE_
DAS_0000_0033	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	33	40	LDS___FLASH_ZA2_AUTION___MDM_R_6
DAS_0000_0034	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	34	41	LDS___FLASH_ZA2_AUTION___MDM_R_5
DAS_0000_0035	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	35	42	LDS___FLASH_ZA2_AUTION___MDM_R_3
DAS_0000_0036	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	36	43	LDS___FLASH_ZA2_AUTION___MDM_R_2
