Chubb/FUNCTION	Parameters	V/Numero	V/Type	V/Adressemodbus	V/Libelle
FONCTION_0070	/Chubb/FONCTION/Chubb	70	Désenfumage	69	ZF PO R+13
FONCTION_0071	/Chubb/FONCTION/Chubb	71	Désenfumage	70	ZF PO R+12
FONCTION_0072	/Chubb/FONCTION/Chubb	72	Désenfumage	71	ZF PO R+11
FONCTION_0073	/Chubb/FONCTION/Chubb	73	Désenfumage	72	ZF PO R+10
FONCTION_0074	/Chubb/FONCTION/Chubb	74	Désenfumage	73	ZF PO R+9
FONCTION_0075	/Chubb/FONCTION/Chubb	75	Désenfumage	74	ZF PO R+8
FONCTION_0076	/Chubb/FONCTION/Chubb	76	Désenfumage	75	ZF PO R+7
FONCTION_0077	/Chubb/FONCTION/Chubb	77	Désenfumage	76	ZF PO R+6
FONCTION_0078	/Chubb/FONCTION/Chubb	78	Désenfumage	77	ZF PO R+5
FONCTION_0079	/Chubb/FONCTION/Chubb	79	Désenfumage	78	ZF PO R+4
FONCTION_0080	/Chubb/FONCTION/Chubb	80	Désenfumage	79	ZF PO R+3
FONCTION_0081	/Chubb/FONCTION/Chubb	81	Désenfumage	80	ZF PO R+2
FONCTION_0082	/Chubb/FONCTION/Chubb	82	Désenfumage	81	ZF PO R+1
FONCTION_0083	/Chubb/FONCTION/Chubb	83	Désenfumage	82	ZF PO EI 2 A
FONCTION_0084	/Chubb/FONCTION/Chubb	84	Désenfumage	83	ZF PO EI 2 B
FONCTION_0085	/Chubb/FONCTION/Chubb	85	Désenfumage	84	ZF PO EI 1 A
FONCTION_0086	/Chubb/FONCTION/Chubb	86	Désenfumage	85	ZF PO EI 1 B
FONCTION_0087	/Chubb/FONCTION/Chubb	87	Désenfumage	86	ZF PO RDC
FONCTION_0088	/Chubb/FONCTION/Chubb	88	Désenfumage	87	ZF PO Esc A Infra
FONCTION_0089	/Chubb/FONCTION/Chubb	89	Désenfumage	88	ZF PO Esc B infra
FONCTION_0090	/Chubb/FONCTION/Chubb	90	Désenfumage	89	ZF PO R-1
FONCTION_0091	/Chubb/FONCTION/Chubb	91	Désenfumage	90	ZF PO R-2
FONCTION_0092	/Chubb/FONCTION/Chubb	92	Désenfumage	91	ZF PO PK 13
FONCTION_0093	/Chubb/FONCTION/Chubb	93		92	Fonction x
FONCTION_0094	/Chubb/FONCTION/Chubb	94		93	Fonction x
FONCTION_0095	/Chubb/FONCTION/Chubb	95		94	Fonction x
FONCTION_0096	/Chubb/FONCTION/Chubb	96		95	Fonction x
FONCTION_0097	/Chubb/FONCTION/Chubb	97	Extrac canton	96	Extracteur CHC NOYAU A
FONCTION_0098	/Chubb/FONCTION/Chubb	98	Extrac canton	97	SOUFFLAGE ESC.A R-2/RDC
FONCTION_0099	/Chubb/FONCTION/Chubb	99	Extrac canton	98	SOUFFLAGE ESC.A RDC/19TER
FONCTION_0100	/Chubb/FONCTION/Chubb	100	Extrac canton	99	SOUFFLAGE SAS A R-2/19TER
FONCTION_0101	/Chubb/FONCTION/Chubb	101	Extrac canton	100	MOTEUR PO PK 13
FONCTION_0102	/Chubb/FONCTION/Chubb	102		101	Fonction x
FONCTION_0103	/Chubb/FONCTION/Chubb	103	Extrac canton	102	Extracteur CHC NOYAU A pv
