Finsecur/DI_Batlic	Parametres	V/Zone	V/ModBusAdresse	V/Libelle	V/Adresse	V/ZoneNom
DI_ZD_0008_A0013	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_8	8	3	BULLE_A	013	ZD8 2eme INTERMEDIAIRE DM
DI_ZD_0010_A0014	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_10	10	3	NOYAU_CENTRAL	014	ZD1 NIVEAU SOUS-SOL DM
DI_ZD_0011_A0015	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_11	11	3	BULLE_C	015	ZD1 NIVEAU SOUS-SOL DM
DI_ZD_0011_A0016	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_11	11	3	BULLE_B	016	ZD1 NIVEAU SOUS-SOL DM
DI_ZD_0011_A0017	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_11	11	3	BULLE_A	017	ZD1 NIVEAU SOUS-SOL DM
DI_ZD_0011_A0018	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_11	11	3	NOYAU_CENTRAL	018	ZD1 NIVEAU SOUS-SOL DM
DI_ZD_0013_A0019	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_13	13	3	NOYAU_CENTRAL	019	ZD1 NIVEAU SOUS-SOL DM
DI_ZD_0012_A0020	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_12	12	3	NOYAU_CENTRAL	020	ZD1 NIVEAU SOUS-SOL DM
DI_ZD_0012_A0021	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_12	12	3	BULLE_A	021	ZD1 NIVEAU SOUS-SOL DM
DI_ZD_0012_A0022	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_12	12	3	BULLE_C	022	ZD1 NIVEAU SOUS-SOL DM
DI_ZD_0012_A0023	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_12	12	3	BULLE_B	023	ZD1 NIVEAU SOUS-SOL DM
